Object,Time Step,Instance ID,Power Consumption
EdgeServer_1,0,1,165.99599999999998
EdgeServer_2,0,2,165.99599999999998
EdgeServer_3,0,3,66.9914
EdgeServer_4,0,4,66.9914
EdgeServer_5,0,5,74.50833333333334
EdgeServer_6,0,6,63.1
EdgeServer_1,1,1,190.74699999999999
EdgeServer_2,1,2,178.37149999999997
EdgeServer_3,1,3,66.9914
EdgeServer_4,1,4,85.867475
EdgeServer_5,1,5,85.91666666666667
EdgeServer_6,1,6,74.50833333333334
EdgeServer_1,2,1,203.1225
EdgeServer_2,2,2,178.37149999999997
EdgeServer_3,2,3,66.9914
EdgeServer_4,2,4,85.867475
EdgeServer_5,2,5,85.91666666666667
EdgeServer_6,2,6,74.50833333333334
EdgeServer_1,3,1,215.498
EdgeServer_2,3,2,190.74699999999999
EdgeServer_3,3,3,66.9914
EdgeServer_4,3,4,85.867475
EdgeServer_5,3,5,85.91666666666667
EdgeServer_6,3,6,63.1
EdgeServer_1,4,1,203.1225
EdgeServer_2,4,2,190.74699999999999
EdgeServer_3,4,3,66.9914
EdgeServer_4,4,4,85.867475
EdgeServer_5,4,5,85.91666666666667
EdgeServer_6,4,6,63.1
EdgeServer_1,5,1,190.74699999999999
EdgeServer_2,5,2,190.74699999999999
EdgeServer_3,5,3,66.9914
EdgeServer_4,5,4,85.867475
EdgeServer_5,5,5,85.91666666666667
EdgeServer_6,5,6,74.50833333333334
EdgeServer_1,6,1,190.74699999999999
EdgeServer_2,6,2,190.74699999999999
EdgeServer_3,6,3,85.867475
EdgeServer_4,6,4,85.867475
EdgeServer_5,6,5,97.325
EdgeServer_6,6,6,63.1
EdgeServer_1,7,1,203.1225
EdgeServer_2,7,2,190.74699999999999
EdgeServer_3,7,3,85.867475
EdgeServer_4,7,4,85.867475
EdgeServer_5,7,5,85.91666666666667
EdgeServer_6,7,6,63.1
EdgeServer_1,8,1,190.74699999999999
EdgeServer_2,8,2,190.74699999999999
EdgeServer_3,8,3,85.867475
EdgeServer_4,8,4,85.867475
EdgeServer_5,8,5,74.50833333333334
EdgeServer_6,8,6,63.1
EdgeServer_1,9,1,190.74699999999999
EdgeServer_2,9,2,203.1225
EdgeServer_3,9,3,66.9914
EdgeServer_4,9,4,66.9914
EdgeServer_5,9,5,85.91666666666667
EdgeServer_6,9,6,74.50833333333334
EdgeServer_1,10,1,190.74699999999999
EdgeServer_2,10,2,203.1225
EdgeServer_3,10,3,66.9914
EdgeServer_4,10,4,66.9914
EdgeServer_5,10,5,85.91666666666667
EdgeServer_6,10,6,74.50833333333334
EdgeServer_1,11,1,203.1225
EdgeServer_2,11,2,190.74699999999999
EdgeServer_3,11,3,66.9914
EdgeServer_4,11,4,66.9914
EdgeServer_5,11,5,85.91666666666667
EdgeServer_6,11,6,74.50833333333334
EdgeServer_1,12,1,190.74699999999999
EdgeServer_2,12,2,178.37149999999997
EdgeServer_3,12,3,66.9914
EdgeServer_4,12,4,66.9914
EdgeServer_5,12,5,85.91666666666667
EdgeServer_6,12,6,85.91666666666667
EdgeServer_1,13,1,190.74699999999999
EdgeServer_2,13,2,190.74699999999999
EdgeServer_3,13,3,66.9914
EdgeServer_4,13,4,66.9914
EdgeServer_5,13,5,85.91666666666667
EdgeServer_6,13,6,85.91666666666667
EdgeServer_1,14,1,203.1225
EdgeServer_2,14,2,190.74699999999999
EdgeServer_3,14,3,66.9914
EdgeServer_4,14,4,85.867475
EdgeServer_5,14,5,85.91666666666667
EdgeServer_6,14,6,74.50833333333334
EdgeServer_1,15,1,190.74699999999999
EdgeServer_2,15,2,190.74699999999999
EdgeServer_3,15,3,66.9914
EdgeServer_4,15,4,85.867475
EdgeServer_5,15,5,85.91666666666667
EdgeServer_6,15,6,74.50833333333334
EdgeServer_1,16,1,190.74699999999999
